,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,munsell
90,Cobalt,#8ca2f9,140,162,249,68.216,12.5,-64.3,0.751,0.726,1.0475,0.2975,0.2876,0.726,
91,BrightBlue,#5849cf,88,73,207,40.1556,41.95,-83.32,0.568,0.4841,0.9007,0.2909,0.2479,0.4841,
92,DullUltramarine,#342e96,52,46,150,26.4096,34.35,-68.64,0.4343,0.3656,0.7088,0.2879,0.2423,0.3656,
93,RoyalBlue,#291883,41,24,131,19.0784,39.4,-67.7,0.3812,0.3024,0.6409,0.2878,0.2283,0.3024,
94,DeepUltramarine,#271b85,39,27,133,19.6816,38.25,-68.1,0.3841,0.3076,0.6481,0.2867,0.2296,0.3076,
95,Ultramarine,#3e2eb7,62,46,183,30.4,46.2,-83.92,0.4924,0.4,0.8196,0.2876,0.2336,0.4,
96,DullBlue,#5962bb,89,98,187,44.8768,20.5,-63.02,0.5658,0.5248,0.8399,0.2931,0.2718,0.5248,
97,DeepDullBlue,#1c42a3,28,66,163,31.328,23.15,-69.36,0.4543,0.408,0.7548,0.2809,0.2523,0.408,
98,SteelBlue,#2d3a7e,45,58,126,26.9896,16.75,-51.38,0.4041,0.3706,0.6275,0.2882,0.2643,0.3706,
99,SlateBlue,#6f6c95,111,108,149,47.336,9.25,-34.58,0.5645,0.546,0.7189,0.3086,0.2985,0.546,
100,BlueBlack,#2b283e,43,40,62,17.3616,6.6,-20.4,0.3008,0.2876,0.3896,0.3076,0.2941,0.2876,
101,Indigo,#363359,54,51,89,23.2544,10.95,-31.18,0.3603,0.3384,0.4943,0.302,0.2837,0.3384,
102,DeepBlue,#403776,64,55,118,27.1056,20.3,-45.58,0.4122,0.3716,0.5995,0.298,0.2686,0.3716,
103,DeepGreyBlue,#504887,80,72,135,34.17,18.65,-45.94,0.4698,0.4325,0.6622,0.3003,0.2764,0.4325,
104,TurqouiseBlue,#5c82ab,92,130,171,53.1476,-3.3,-39.92,0.5895,0.5961,0.7957,0.2975,0.3009,0.5961,
105,DeepTurqouiseBlue,#2e5292,46,82,146,35.388,8.1,-51.52,0.4592,0.443,0.7006,0.2865,0.2764,0.443,
106,GreenishBlue,#0072ba,0,114,186,46.4196,-0.85,-60.12,0.5364,0.5381,0.8387,0.2804,0.2813,0.5381,
107,PaleBlue,#79d3ea,121,211,234,79.9552,-22.8,-37.6,0.7816,0.8272,1.0152,0.2979,0.3152,0.8272,
108,LightBlue,#7897d1,120,151,209,62.2768,2.6,-49.42,0.68,0.6748,0.9219,0.2987,0.2964,0.6748,
109,PrussianBlue,#404a97,64,74,151,34.4484,18.65,-56.28,0.4722,0.4349,0.7163,0.2909,0.2679,0.4349,
