SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
B1,3.87,3.43,2.06,21.68,8.73,6.55,10.91,36.88,1.29,1.55,1.56,1.44,0.02,0.03,0.02,0.26,0.35,26.1733,17.7049,20.3623,0.502587,0.596737,0.800611
B2,4.48,3.37,1.21,21.46,18.25,15.68,24.06,40.68,1.17,1.69,1.78,1.41,0.04,0.03,0.02,0.29,0.36,30.5354,15.8852,17.2238,0.499149,0.537745,0.712661
B3,5.1,3.32,0.6,21.28,26.96,25.42,37.05,43.32,1.08,1.85,2.08,1.39,0.04,0.02,0.01,0.21,0.25,34.6203,14.3525,14.9245,0.544287,0.704304,0.982039
B4,5.64,3.58,0.6,22.24,29.28,27.04,39.85,42.73,1.04,1.85,2.08,1.35,0.07,0.03,0.01,0.39,0.47,36.816,14.4544,14.7695,0.678917,1.00963,1.10231
B5,14.1,12.24,6.9,41.6,15.13,11.86,19.23,38.09,0.72,1.01,1.05,0.88,0.09,0.07,0.11,0.4,0.47,49.0008,28.7272,29.2381,1.15726,1.87597,1.66935
B6,16.08,12.17,4.71,41.49,27.4,22.13,35.23,38.93,0.62,1.11,1.21,0.85,0.07,0.07,0.06,0.26,0.3,58.0676,26.2595,24.3479,0.542985,0.451666,0.651503
B7,18.54,12.17,2.89,41.48,40.82,33.65,52.91,39.5,0.54,1.25,1.41,0.83,0.05,0.05,0.04,0.34,0.4,67.9165,23.1563,20.4241,0.524242,0.540337,0.849287
B8,20.93,11.62,1.22,40.6,56.49,48.5,74.45,40.65,0.48,1.52,1.77,0.81,0.04,0.04,0.02,0.26,0.31,77.3517,20.0556,17.5878,0.525416,0.665208,1.01707
B9,44.43,44.13,33.46,72.32,5.53,4.24,6.97,37.5,0.3,0.38,0.39,0.35,0.16,0.18,0.16,0.21,0.25,80.7692,65.6857,65.4013,0.583358,0.572938,0.823292
B10,46.61,44.14,30.14,72.32,11.72,9.31,14.96,38.47,0.25,0.4,0.43,0.34,0.18,0.2,0.19,0.29,0.36,88.1755,64.329,61.6407,0.542203,0.515682,0.688689
B11,47.96,43.48,26.42,71.88,17.36,14.7,22.75,40.26,0.22,0.43,0.49,0.34,0.18,0.2,0.17,0.19,0.23,94.5797,62.409,58.045,0.537367,0.57373,0.756424
B12,49.08,42.57,23,71.26,23.09,19.8,30.42,40.61,0.2,0.47,0.54,0.34,0.1,0.13,0.11,0.17,0.21,99.9814,60.7712,55.4565,0.183833,0.680158,0.773814
B13,70.05,74.96,67.06,89.38,-4.72,-4.96,6.84,226.42,0.16,0.11,0.1,0.13,0.14,0.12,0.15,0.14,0.17,94.6199,98.8066,99.8856,0.580632,0.534413,0.400923
B14,72.28,71.96,65.76,87.95,6.15,-6.21,8.74,314.76,0.12,0.15,0.11,0.14,0.15,0.2,0.12,0.18,0.21,100,93.5758,99.9986,1.12E-14,0.564043,0.0468158
B15,74.71,77.98,58.88,90.77,-0.99,5.38,5.47,100.4,0.1,0.11,0.15,0.11,0.08,0.08,0.2,0.18,0.23,100,99.5822,92.361,1.12E-14,0.18883,0.766754
B16,64.41,66.71,56.86,85.36,0.2,-1.89,1.9,275.91,0.17,0.17,0.17,0.18,0.11,0.11,0.13,0.13,0.15,94.5802,90.6968,92.2472,0.533617,0.586386,0.786129
B17,70.42,70.51,57.35,87.24,5.25,0.86,5.32,9.28,0.12,0.17,0.16,0.15,0.18,0.19,0.2,0.15,0.17,100,91.7425,92.3176,1.12E-14,0.613915,0.808258
B18,68.26,73.67,58.34,88.77,-5.97,2.47,6.46,157.55,0.16,0.12,0.15,0.14,0.13,0.11,0.11,0.13,0.15,94.176,97.6594,91.8005,0.621924,0.520788,0.860897
B19,66.22,68.11,65.17,86.06,1.22,-8.9,8.98,277.81,0.17,0.16,0.11,0.17,0.17,0.21,0.17,0.17,0.21,92.1578,90.3103,99.3441,0.715411,0.837294,0.8563
B20,3.25,2.32,0.8,17.09,18.95,14.46,23.84,37.34,1.3,1.9,1.96,1.56,0.02,0.02,0.02,0.32,0.43,30.2968,19.3687,22.3743,0.749007,1.27448,1.62714
B21,9.14,5.37,0.85,27.76,39.37,31.94,50.69,39.05,0.82,1.78,1.93,1.16,0.05,0.03,0.02,0.3,0.39,49.4147,18.4637,19.64,0.504005,0.637932,0.732581
B22,31.21,26.74,13.62,58.73,21.17,19.14,28.54,42.12,0.38,0.68,0.77,0.54,0.1,0.08,0.13,0.36,0.45,75.9597,44.3126,41.1688,0.532659,0.528283,0.653565
C1,5.19,5.01,2.73,26.76,4.43,9.5,10.48,65.01,1.18,1.35,1.44,1.28,0.02,0.03,0.05,0.35,0.43,28.5826,21.5324,22.3608,0.663058,0.716876,0.809574
C2,5.51,5.03,1.73,26.83,7.97,18.7,20.32,66.91,1.12,1.38,1.62,1.27,0.07,0.07,0.03,0.38,0.43,30.6344,20.4001,18.2988,0.478502,0.64283,0.709167
C3,5.73,4.9,0.78,26.46,12.04,30.94,33.2,68.74,1.08,1.45,1.94,1.26,0.07,0.04,0.02,0.47,0.59,32.4631,19.3272,14.2963,0.586405,0.600759,0.753931
C4,6.44,5.51,0.82,28.13,12.66,33.08,35.41,69.06,1.03,1.4,1.92,1.21,0.05,0.03,0.01,0.27,0.31,34.9805,20.8211,14.4688,0.567183,0.707732,0.820804
C5,25.91,24.73,12.4,56.81,8.81,19.22,21.14,65.36,0.49,0.66,0.8,0.59,0.12,0.1,0.11,0.39,0.49,63.5528,44.5995,36.5109,0.565727,0.505311,0.581631
C6,27.57,24.33,6.54,56.42,17.26,38.95,42.6,66.1,0.42,0.72,1.06,0.57,0.08,0.12,0.1,0.42,0.52,72.282,42.2511,25.3222,0.522117,0.547156,0.736221
C7,29.61,24.26,2.93,56.35,25.48,58.97,64.24,66.64,0.37,0.78,1.38,0.56,0.06,0.08,0.04,0.27,0.34,79.7782,40.3979,16.8095,0.569595,0.522512,0.590674
C8,30.91,24.37,1.36,56.46,29.88,74,79.8,68.01,0.34,0.82,1.7,0.55,0.11,0.08,0.03,0.43,0.51,83.4844,40.4123,12.8359,0.491873,0.646105,1.01234
C9,51.42,51.86,37.05,77.2,3.76,7.54,8.42,63.51,0.24,0.3,0.34,0.28,0.15,0.18,0.23,0.28,0.33,87.3197,72.9337,67.5068,0.561233,0.558272,0.947501
C10,52.58,51.55,29.99,77.01,7.58,17.63,19.19,66.74,0.21,0.32,0.43,0.27,0.15,0.17,0.24,0.25,0.3,93.6201,72.0411,59.4265,0.499045,0.479109,0.721017
C11,53.44,51.17,24.37,76.78,10.78,26.78,28.87,68.07,0.18,0.34,0.52,0.27,0.2,0.22,0.2,0.2,0.22,98.5404,70.6858,52.2273,0.522988,0.6108,0.678858
C12,54.22,50.72,19.13,76.51,13.94,36.63,39.19,69.17,0.16,0.36,0.61,0.27,0.09,0.13,0.11,0.22,0.26,100,69.8248,46.2884,1.12E-14,0.641589,0.781659
C13,61.85,69.05,66.01,86.53,-10.72,-8.89,13.92,219.67,0.24,0.12,0.1,0.18,0.17,0.11,0.14,0.21,0.24,82.3584,95.7922,99.112,0.662157,0.538819,0.819652
C14,66.76,62.82,62.85,83.35,14.11,-11.36,18.12,321.16,0.14,0.23,0.13,0.19,0.14,0.18,0.18,0.22,0.25,99.9996,83.4264,99.6118,0.0583877,0.596126,0.46972
C15,72.64,76.29,48.87,90,-1.92,14.8,14.92,97.41,0.11,0.12,0.23,0.11,0.08,0.07,0.26,0.23,0.27,100,97.4005,79.8965,1.12E-14,0.443443,0.814989
C16,50.82,52.67,45.11,77.68,0.09,-2.02,2.02,272.6,0.27,0.28,0.26,0.28,0.09,0.09,0.1,0.14,0.17,82.6257,77.7614,80.1796,0.686458,0.687788,0.88561
C17,62.87,59.97,45.73,81.82,11.93,4.38,12.71,20.15,0.14,0.26,0.26,0.21,0.14,0.19,0.15,0.17,0.2,99.9998,79.5837,80.3676,0.0184762,0.605663,0.802496
C18,58.09,66.13,48.01,85.06,-13.32,7.28,15.18,151.35,0.25,0.15,0.23,0.19,0.13,0.09,0.1,0.13,0.16,82.0943,92.3732,79.5394,0.727839,0.581741,0.883515
C19,54.32,55.21,61.44,79.16,2.77,-17.19,17.41,279.14,0.27,0.25,0.14,0.26,0.17,0.19,0.08,0.22,0.25,79.584,79.0464,96.9882,0.757496,0.774675,0.786716
C20,2.04,1.69,0.75,13.79,9.83,9.67,13.79,44.52,1.54,1.91,1.99,1.73,0.01,0.01,0.02,0.25,0.34,25.3688,19.3272,22.4012,0.597712,0.945082,1.36014
C21,24.64,18.68,5.57,50.31,31.47,32.89,45.52,46.26,0.44,0.93,1.13,0.67,0.09,0.07,0.03,0.2,0.23,73.3383,34.3861,28.6101,0.496257,0.493207,0.665753
C22,37.54,34.44,19.68,65.31,14.62,16.17,21.8,47.88,0.32,0.53,0.61,0.44,0.07,0.09,0.16,0.29,0.35,79.7853,53.2816,48.3839,0.529787,0.542233,0.644286
D1,4.78,4.97,2.81,26.65,-0.16,8.75,8.75,91.06,1.24,1.31,1.42,1.3,0.03,0.03,0.03,0.29,0.34,25.8995,21.9074,22.1674,0.757647,0.746713,0.933824
D2,4.75,4.97,1.77,26.64,-0.5,17.95,17.95,91.61,1.23,1.32,1.6,1.29,0.04,0.05,0.03,0.37,0.44,26.306,21.5223,17.9489,0.526307,0.507734,0.720048
D3,5.03,5.33,0.88,27.65,-1.31,31.18,31.2,92.4,1.2,1.3,1.89,1.25,0.05,0.03,0.02,0.42,0.49,26.8932,22.2127,13.8098,0.560018,0.470712,0.667082
D4,5.22,5.54,0.91,28.21,-1.42,31.66,31.69,92.57,1.18,1.28,1.87,1.24,0.03,0.04,0.03,0.27,0.32,28.26,23.4991,14.7525,0.662673,0.588526,0.793843
D5,29.14,30.4,15.96,62,-0.65,18.82,18.83,91.98,0.47,0.53,0.69,0.51,0.18,0.17,0.14,0.34,0.4,62.3665,52.9692,41.1229,0.653502,0.571475,0.66137
D6,28.73,30.18,8.61,61.81,-1.41,40,40.03,92.02,0.46,0.54,0.94,0.5,0.16,0.15,0.07,0.23,0.25,64.6911,53.021,27.4506,0.637673,0.570701,0.71824
D7,28.21,30.02,4.48,61.67,-2.88,58.18,58.25,92.83,0.46,0.55,1.2,0.5,0.13,0.08,0.08,0.46,0.61,64.3766,54.12,17.6546,0.783353,0.558903,0.608849
D8,28.08,29.78,1.8,61.46,-2.47,77.7,77.74,91.82,0.47,0.57,1.59,0.5,0.18,0.16,0.03,0.39,0.5,63.7863,55.8113,10.9801,0.778266,0.525188,0.889724
D9,58.47,60.89,44.06,82.32,-0.59,7.27,7.29,94.63,0.2,0.22,0.27,0.21,0.15,0.19,0.15,0.14,0.16,89.9288,82.797,73.8888,0.69562,0.566201,0.899964
D10,58.29,60.71,35.01,82.22,-0.6,19.07,19.08,91.82,0.19,0.23,0.36,0.21,0.15,0.16,0.26,0.26,0.31,93.3591,82.7635,63.2723,0.660213,0.578785,0.736885
D11,57.59,60.4,27.85,82.06,-1.58,29.81,29.85,93.04,0.18,0.23,0.46,0.21,0.17,0.19,0.2,0.26,0.3,94.8612,82.932,53.9559,0.682257,0.525898,0.734452
D12,55.07,57.64,9.57,80.54,-1.28,68.93,68.94,91.06,0.18,0.28,0.89,0.22,0.19,0.19,0.07,0.19,0.23,95.7389,81.5794,26.8399,0.642223,0.449807,0.753301
D13,54.57,63.41,64.75,83.66,-15.98,-12.65,20.38,218.37,0.33,0.14,0.11,0.22,0.21,0.17,0.11,0.22,0.27,71.4933,93.217,98.3007,0.717299,0.53509,0.833232
D14,61.31,54.29,59.64,78.63,22.08,-16.33,27.46,323.5,0.16,0.32,0.15,0.25,0.16,0.2,0.16,0.22,0.26,99.9566,74.2795,97.8237,0.267778,0.485365,0.570847
D15,70.46,74.15,39.24,88.99,-2.21,24.92,25.01,95.06,0.11,0.14,0.32,0.12,0.16,0.17,0.28,0.3,0.35,100,94.6194,67.8863,1.12E-14,0.481862,0.793072
D16,39.59,40.96,34.6,70.15,0.27,-1.15,1.18,283.38,0.37,0.39,0.38,0.39,0.11,0.08,0.1,0.26,0.29,71.9393,66.6608,68.7588,0.654759,0.541532,0.695246
D17,55.68,50.38,35.31,76.3,18.52,8.44,20.35,24.49,0.17,0.36,0.37,0.27,0.1,0.1,0.16,0.17,0.2,99.965,68.7878,68.9851,0.2506,0.485153,0.738054
D18,48.95,58.71,38.08,81.13,-19.81,12.92,23.65,146.89,0.33,0.18,0.33,0.25,0.14,0.1,0.17,0.21,0.25,71.6473,87.1164,68.0906,0.713302,0.476387,0.645157
D19,44.28,44.17,57.31,72.35,4.96,-24.79,25.28,281.3,0.37,0.35,0.17,0.37,0.21,0.23,0.18,0.27,0.3,69.2672,69.3924,94.5066,0.623008,0.748671,0.765644
D20,15.04,11.5,3.28,40.41,26.02,29.03,38.99,48.12,0.65,1.14,1.35,0.88,0.1,0.08,0.03,0.35,0.41,56.4972,28.7522,26.4502,0.495422,0.80702,1.34507
D21,23.53,22.75,13.33,54.81,7.23,13.16,15.01,61.22,0.54,0.68,0.77,0.63,0.1,0.07,0.07,0.2,0.24,59.9423,44.3141,40.8655,0.489702,0.498803,0.667788
D22,41.5,39.62,22.7,69.2,10.25,16.83,19.71,58.65,0.3,0.45,0.55,0.38,0.09,0.05,0.18,0.32,0.38,81.6487,59.2333,51.9089,0.554542,0.501153,0.740858
E1,4.49,5.04,2.8,26.84,-4.7,9.09,10.23,117.35,1.29,1.28,1.42,1.3,0.03,0.04,0.06,0.4,0.48,24.0436,22.5499,22.2495,0.501633,0.422371,0.634171
E2,4.04,4.98,1.77,26.67,-10.27,18.02,20.74,119.69,1.36,1.26,1.6,1.31,0.04,0.04,0.02,0.37,0.44,21.9583,22.4505,17.5718,0.575725,0.453279,0.686768
E3,4.1,5.5,0.99,28.11,-15.63,30.29,34.09,117.29,1.39,1.19,1.83,1.27,0.06,0.07,0.01,0.42,0.49,20.4473,24.0086,13.6797,0.634957,0.469655,0.728921
E4,3.71,4.98,0.95,26.68,-15.14,28.48,32.25,117.99,1.43,1.24,1.85,1.31,0.05,0.06,0.02,0.36,0.48,19.8211,23.2757,13.7909,0.801736,0.570337,0.78243
E5,13.83,15.69,8.92,46.57,-8,12.62,14.94,122.36,0.82,0.78,0.94,0.81,0.15,0.14,0.11,0.52,0.62,38.4648,38.0749,31.1877,0.660678,0.466281,0.564985
E6,12.62,15.67,5.47,46.54,-15.66,26.86,31.09,120.23,0.88,0.76,1.13,0.81,0.11,0.12,0.05,0.42,0.49,35.5813,39.558,23.2598,0.683723,0.54469,0.671403
E7,11.58,15.75,3.07,46.65,-23.33,41.28,47.41,119.47,0.95,0.74,1.36,0.82,0.06,0.06,0.03,0.17,0.2,32.0629,41.7204,16.7006,0.863643,0.531761,0.72518
E8,10.79,15.78,1.57,46.68,-29.23,54.71,62.03,118.12,1.04,0.72,1.64,0.82,0.07,0.08,0.02,0.29,0.37,28.5373,44.5429,11.8193,0.947783,0.559221,0.973487
E9,40.68,43.78,31.6,72.08,-4.63,6.63,8.09,124.97,0.37,0.35,0.41,0.36,0.24,0.24,0.22,0.35,0.44,69.8041,68.1435,61.2031,0.85982,0.629476,0.779493
E10,39.28,43.55,26.52,71.93,-8.35,14.62,16.83,119.74,0.38,0.34,0.48,0.36,0.17,0.19,0.2,0.31,0.38,68.67,69.452,54.8726,0.768684,0.503252,0.638102
E11,37.93,43.79,22.11,72.09,-13.32,22.93,26.51,120.15,0.4,0.33,0.55,0.36,0.21,0.21,0.16,0.22,0.26,66.7594,71.3541,48.6391,0.604222,0.495949,0.762249
E12,32.62,41.97,11.08,70.85,-25.96,47.33,53.98,118.74,0.49,0.33,0.83,0.39,0.08,0.1,0.09,0.21,0.25,57.5969,74.0179,31.3489,0.702412,0.472988,0.765634
E13,47.06,57.18,63.21,80.28,-21.36,-16.99,27.29,218.51,0.43,0.17,0.12,0.27,0.21,0.2,0.12,0.18,0.22,59.5466,88.7135,97.2545,0.661428,0.509832,0.831563
E14,55.77,46.2,55.85,73.67,30.07,-20.98,36.67,325.09,0.19,0.42,0.19,0.31,0.09,0.12,0.09,0.21,0.26,97.3956,65.1128,95.0753,0.725542,0.583964,0.725485
E15,68.33,71.76,30.5,87.85,-1.86,35.52,35.57,93,0.11,0.16,0.42,0.13,0.18,0.18,0.22,0.28,0.34,100,91.3454,56.5472,1.12E-14,0.58017,0.822725
E16,29.28,30.35,25.47,61.95,0.05,-0.76,0.76,273.96,0.5,0.52,0.51,0.52,0.14,0.13,0.17,0.32,0.37,61.5198,55.8792,57.9893,0.665662,0.655867,0.637316
E17,48.78,41.62,26.17,70.61,25.08,12.94,28.22,27.28,0.2,0.48,0.49,0.35,0.12,0.13,0.25,0.3,0.37,97.5403,58.1723,58.0245,0.544525,0.492513,0.618658
E18,39.92,50.78,29.18,76.55,-26.27,18.14,31.93,145.37,0.44,0.23,0.44,0.31,0.19,0.15,0.23,0.3,0.4,61.0935,80.831,56.8652,0.695896,0.466933,0.709649
E19,35.05,34.17,52.59,65.1,7.28,-32.29,33.1,282.7,0.49,0.46,0.21,0.48,0.18,0.18,0.11,0.22,0.26,58.4546,59.5995,90.597,0.618703,0.599733,0.65414
E20,25.83,17.93,1.33,49.41,40.39,62.24,74.2,57.02,0.4,1.04,1.71,0.66,0.1,0.09,0.03,0.35,0.42,79.4224,31.3618,19.1414,0.586971,0.605954,1.18451
E21,18.42,15.29,3.32,46.03,20.61,38.42,43.6,61.79,0.58,0.96,1.34,0.76,0.1,0.06,0.03,0.31,0.39,61.2743,32.8455,22.1933,0.65529,0.995791,1.44022
E22,31.71,27.38,9.58,59.32,20.44,32.29,38.21,57.66,0.36,0.67,0.91,0.52,0.09,0.09,0.06,0.37,0.41,78.0375,44.7261,33.1723,0.553025,0.469297,0.660385
F1,1.77,2.21,1.6,16.58,-8.62,2.48,8.97,163.95,1.77,1.59,1.66,1.68,0.01,0.01,0.02,0.26,0.32,16.1908,17.4392,19.3889,0.600611,0.51303,0.737438
F2,1.33,2.17,1.27,16.36,-19.61,6.07,20.53,162.79,2.02,1.52,1.75,1.71,0.01,0.03,0.02,0.26,0.29,13.324,17.6252,17.7082,0.940663,0.745227,0.878102
F3,1.39,2.57,1.37,18.23,-25.8,7.95,27,162.87,2.09,1.42,1.71,1.65,0.02,0.03,0.02,0.3,0.36,11.7273,18.4431,17.2008,1.36184,0.970748,1.09732
F4,1.21,2.12,1.19,16.12,-22.29,6.72,23.28,163.23,2.11,1.51,1.77,1.73,0.01,0.02,0.01,0.19,0.22,11.3471,16.9941,16.3765,0.714902,0.597165,0.823711
F5,7.58,9.33,6.82,36.62,-12.62,3.6,13.12,164.06,1.14,0.97,1.05,1.05,0.03,0.04,0.08,0.34,0.44,24.9848,29.6359,28.7969,0.607754,0.485338,0.545342
F6,6.35,9.44,5.79,36.82,-25.73,8.58,27.12,161.56,1.31,0.91,1.11,1.06,0.06,0.08,0.07,0.34,0.42,19.4354,31.8084,26.1171,0.648571,0.454633,0.625583
F7,5.13,9.39,4.89,36.73,-39.28,12.97,41.37,161.73,1.55,0.86,1.18,1.08,0.03,0.05,0.06,0.21,0.24,14.0615,33.7233,23.5723,0.635129,0.425317,0.660785
F8,3.93,9.08,4.04,36.14,-52.73,16.7,55.31,162.42,1.93,0.83,1.25,1.12,0.02,0.03,0.05,0.23,0.28,11.1398,35.6754,22.619,0.903435,0.579115,0.9829
F9,40.48,43.88,35.61,72.15,-5.57,0.84,5.63,171.4,0.38,0.34,0.36,0.36,0.22,0.22,0.18,0.3,0.36,66.6598,68.5652,66.9695,0.549915,0.535483,0.714454
F10,38.38,43.63,34.29,71.98,-11.44,2.45,11.7,167.92,0.42,0.32,0.38,0.37,0.17,0.15,0.16,0.26,0.3,62.7114,70.8895,66.1445,0.57052,0.438203,0.624355
F11,37.06,44.18,33.24,72.35,-17.28,4.62,17.89,165.02,0.46,0.3,0.39,0.37,0.19,0.18,0.19,0.21,0.24,58.7028,73.2908,64.506,0.58259,0.492076,0.6419
F12,29.96,41.95,27.66,70.84,-35.63,10.79,37.22,163.15,0.63,0.28,0.46,0.41,0.15,0.15,0.17,0.25,0.28,44.4705,75.9474,57.467,0.576712,0.491435,0.713727
F13,40.39,51.25,61.33,76.83,-26.03,-21.11,33.51,219.04,0.54,0.2,0.13,0.33,0.2,0.21,0.11,0.17,0.23,49.0409,84.3332,96.2326,0.804949,0.462927,0.654035
F14,50.35,38.78,51.8,68.59,38.04,-25.41,45.74,326.26,0.22,0.53,0.22,0.38,0.17,0.2,0.09,0.26,0.31,94.4931,56.5581,92.4702,0.684743,0.507573,0.684043
F15,66.27,69.16,23.57,86.58,-0.93,45.15,45.16,91.18,0.11,0.19,0.52,0.15,0.16,0.16,0.12,0.23,0.3,100,88.2921,46.9551,1.12E-14,0.566036,0.899158
F16,21.12,21.91,18.55,53.93,-0.02,-1.04,1.04,268.68,0.64,0.66,0.64,0.66,0.1,0.11,0.08,0.27,0.32,52.1455,46.5211,49.1058,0.626032,0.557479,0.635947
F17,42.7,34.13,19.22,65.07,31.68,16.72,35.82,27.82,0.24,0.61,0.62,0.42,0.12,0.14,0.1,0.24,0.29,94.5316,49.4216,49.3676,0.531207,0.481222,0.696037
F18,32.14,43.51,22.24,71.9,-32.19,22.37,39.2,145.21,0.56,0.28,0.55,0.39,0.1,0.11,0.2,0.25,0.31,51.3676,74.9552,48.1892,0.701673,0.460476,0.653426
F19,27.06,25.55,47.59,57.6,10.1,-39.58,40.85,284.32,0.63,0.58,0.26,0.61,0.13,0.12,0.1,0.25,0.3,49.0602,51.3926,87.0563,0.622445,0.527959,0.574591
F20,27.77,26.57,13.41,58.58,8.73,19.44,21.31,65.81,0.46,0.63,0.77,0.55,0.09,0.11,0.18,0.45,0.59,66.6012,47.8091,40.7271,0.590836,0.467431,0.879718
F21,35.85,32.68,12.37,63.9,15.14,31.51,34.96,64.33,0.33,0.57,0.8,0.45,0.11,0.11,0.1,0.24,0.27,80.7635,51.3494,36.8756,0.534893,0.474201,0.638835
