,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z
153,Yellow,#ffc700,255,199,0,82.9702,4.1838,76.0189,0.8616,0.8532,0.4731
154,OrangeYellow,#ffc700,255,199,0,82.9702,4.1838,76.0189,0.8616,0.8532,0.4731
155,YellowOrange,#ff9e00,255,158,0,73.3594,25.6086,70.5657,0.8216,0.7703,0.4175
156,DullOrange,#ff9200,255,146,0,70.7451,31.8263,69.1831,0.8115,0.7478,0.4019
157,PaleOrange,#ffa804,255,168,4,75.6215,20.4111,71.3086,0.8307,0.7898,0.4333
158,Orange,#ff6503,255,101,3,62.1463,53.5975,64.5389,0.7809,0.6737,0.351
159,BrightOrange,#ff6701,255,103,1,62.4761,52.7011,65.0565,0.7819,0.6765,0.3512
160,ReddishOrange,#ff7100,255,113,0,64.2178,48.1385,66.0061,0.7878,0.6915,0.3615
161,RedOrange,#ff5604,255,86,4,59.8203,59.8438,63.3497,0.7733,0.6536,0.3369
162,OrangeRed,#fc350a,252,53,10,55.3428,69.9154,59.904,0.7549,0.615,0.3155
163,IndianRed,#b73806,183,56,6,42.6255,48.0153,47.8179,0.6014,0.5054,0.2663
164,Salmon,#f86e42,248,110,66,62.9289,48.4031,41.0664,0.7772,0.6804,0.4751
165,Flesh,#fbb579,251,181,121,79.0053,16.7922,28.51,0.8526,0.819,0.6765
166,SalmonPink,#f78f70,247,143,112,69.8869,34.4357,22.4144,0.8093,0.7404,0.6283
167,Pink,#faa397,250,163,151,75.2972,28.8118,6.25,0.8447,0.787,0.7558
168,VenetianRed,#d4443f,212,68,63,50.0853,54.3918,27.4041,0.6785,0.5697,0.4327
169,BrownRed,#c00028,192,0,40,40.1798,63.9353,30.3558,0.6122,0.4843,0.3325
170,DullVermillion,#ec0515,236,5,21,49.4908,73.6407,51.8412,0.7119,0.5646,0.3054
171,OrangeVermillion,#cd0006,205,0,6,42.7516,66.4791,50.5065,0.6394,0.5065,0.2539
172,Vermillion,#c70008,199,0,8,41.4687,65.0408,48.5247,0.6255,0.4954,0.2528
173,ScarletVermillion,#a7000b,167,0,11,34.4772,57.167,40.1325,0.5495,0.4351,0.2345
174,CarmineVermillion,#a00011,160,0,17,32.9497,55.4998,35.4261,0.533,0.422,0.2448
175,DullScarlet,#e61828,230,24,40,49.0436,70.5906,41.3944,0.7019,0.5607,0.3537
176,Red,#da0027,218,0,39,45.7052,70.1031,38.1218,0.6721,0.5319,0.3413
177,BrightScarlet,#a30014,163,0,20,33.6411,56.3119,34.5443,0.5406,0.4279,0.2552
178,Scarlet,#ac0013,172,0,19,35.6309,58.5384,37.4423,0.5622,0.4451,0.2579
179,DeepRoseRed,#a30018,163,0,24,33.6738,56.399,32.1944,0.541,0.4282,0.2673
180,Rosine,#ac0017,172,0,23,35.6598,58.6168,35.2199,0.5626,0.4453,0.2692
181,BrightRoseRed,#ce0034,206,0,52,43.3151,67.6608,26.6767,0.6467,0.5113,0.378
182,RoseRed,#d7003c,215,0,60,45.3221,70.0632,24.1179,0.6688,0.5286,0.408
183,CarmineRed,#a10027,161,0,39,33.4005,56.3616,21.8726,0.5386,0.4259,0.3165
184,DeepCarmineRed,#95002b,149,0,43,30.793,53.5725,15.3467,0.5105,0.4034,0.3267
185,RosePink,#f48789,244,135,137,68.2904,39.6816,5.1511,0.806,0.7266,0.7009
186,BrownRose,#d45e62,212,94,98,54.953,45.1751,11.052,0.702,0.6117,0.5564
187,DullRose,#e74064,231,64,100,53.574,63.7417,8.5384,0.7273,0.5998,0.5571
188,Rose,#e6416a,230,65,106,53.6474,63.5438,4.6701,0.7275,0.6004,0.5771
189,CarmineRose,#e8486d,232,72,109,54.9637,61.8486,4.5421,0.7355,0.6118,0.589
190,BrightRose,#d90566,217,5,102,46.7369,72.3627,-2.5159,0.6856,0.5408,0.5534
191,RoseCarmine,#ca0040,202,0,64,42.6526,67.2135,17.5882,0.6401,0.5056,0.4177
192,Carmine,#a00027,160,0,39,33.1788,56.1151,21.5663,0.5362,0.424,0.3161
193,BrightCarmine,#9c0022,156,0,34,32.2208,54.9432,23.7369,0.5256,0.4157,0.297
194,BrightCrimson,#81001e,129,0,30,26.0424,47.9822,18.1184,0.4584,0.3624,0.2718
195,DeepCarmine,#86001f,134,0,31,27.2062,49.2978,19.0025,0.4711,0.3725,0.2775
196,CarmineLake,#81001e,129,0,30,26.0424,47.9822,18.1184,0.4584,0.3624,0.2718
197,BrownLake,#8d1b2e,141,27,46,30.9819,46.2199,13.0152,0.4975,0.405,0.3399
198,Lake,#7e0c2c,126,12,44,26.3913,45.6753,8.0289,0.4568,0.3654,0.3253
199,Crimson,#751933,117,25,51,25.9104,39.9549,1.815,0.4412,0.3613,0.3522
